label,userId,movieId,userAvgRating,userPreferYear,userRelTag1,userRelTag2,userRelTag3,movieAvgRating,movieYear,movieRelTag1,movieRelTag2,movieRelTag3
1,1,87004,3.7220543806646527,1972,742,646,972,3.828767123287671,2011,79,995,283
1,1,4848,3.7220543806646527,1972,742,646,972,3.845282448897392,2001,617,995,652
1,1,1211,3.7220543806646527,1972,742,646,972,4.017422192151556,1987,639,443,270
1,1,3910,3.7220543806646527,1972,742,646,972,3.8446261682242993,2000,755,443,496
1,1,8670,3.7220543806646527,1972,742,646,972,3.867965367965368,1933,270,268,1020
1,1,4878,3.7220543806646527,1972,742,646,972,3.9526129521533298,2001,1027,192,1104
1,1,2997,3.7220543806646527,1972,742,646,972,3.9324674781444764,1999,735,1104,660
1,1,4226,3.7220543806646527,1972,742,646,972,4.15104214071175,2000,917,992,242
1,1,5618,3.7220543806646527,1972,742,646,972,4.20979020979021,2001,748,535,378
1,1,48394,3.7220543806646527,1972,742,646,972,3.9835352006056017,2006,287,660,535
1,1,2959,3.7220543806646527,1972,742,646,972,4.230242741146963,1999,691,789,536
1,1,4306,3.7220543806646527,1972,742,646,972,3.7574659833892916,2001,748,371,244
1,1,4993,3.7220543806646527,1972,742,646,972,4.091012118491921,2001,502,607,883
1,1,7153,3.7220543806646527,1972,742,646,972,4.091538933169835,2003,502,1046,883
1,1,9018,3.7220543806646527,1972,742,646,972,3.7931985294117645,2004,315,649,561
1,1,27912,3.7220543806646527,1972,742,646,972,3.6951710261569417,2004,582,800,818
1,1,6672,3.7220543806646527,1972,742,646,972,3.7947976878612715,2001,1096,582,782
1,1,37240,3.7220543806646527,1972,742,646,972,3.942215088282504,2005,651,560,800
1,1,55071,3.7220543806646527,1972,742,646,972,3.86046511627907,2007,315,561,560
